L,Temperatura,Beta,Magnetizacion,Energia,Susceptibilidad,Calor_Especifico,Varianza_Magnetizacion,Varianza_Energia,Termalizacion_Pasos,Mediciones_Pasos
16,1.73750000,0.57553957,0.96567094,-1.88446625,0.07884667,0.37340754,0.00053514,0.00440345,2000,50000
16,1.78248126,0.56101572,0.96026672,-1.86835344,0.09615781,0.41231375,0.00066953,0.00511726,2000,50000
16,1.82558830,0.54776863,0.95343969,-1.84880031,0.11540062,0.45884072,0.00082295,0.00597348,2000,50000
16,1.86682112,0.53566996,0.94398453,-1.82561000,0.21181735,0.55175943,0.00154463,0.00751130,2000,50000
16,1.90617972,0.52460951,0.93739281,-1.80650469,0.19058680,0.56569704,0.00141911,0.00802919,2000,50000
16,1.94366410,0.51449219,0.92878641,-1.78497563,0.24764404,0.62357665,0.00188022,0.00920221,2000,50000
16,1.97927426,0.50523569,0.91684422,-1.75867438,0.37642965,0.69888290,0.00291038,0.01069489,2000,50000
16,2.01301020,0.49676847,0.90592639,-1.73478253,0.43226037,0.75571745,0.00339900,0.01196221,2000,500000
16,2.04487193,0.48902818,0.89490769,-1.71156137,0.57317228,0.82274432,0.00457837,0.01343870,2000,500000
16,2.07485943,0.48196036,0.88007503,-1.68473022,0.86379254,0.91283795,0.00700097,0.01535080,2000,500000
16,2.10297272,0.47551734,0.86699697,-1.65866816,0.89442652,0.97550283,0.00734748,0.01685217,2000,500000
16,2.12921179,0.46965737,0.85032417,-1.63228341,1.26092108,1.05100884,0.01048738,0.01861247,2000,500000
16,2.15357663,0.46434382,0.83630273,-1.60774709,1.46995811,1.10155155,0.01236589,0.01995655,2000,500000
16,2.17606726,0.45954462,0.81488608,-1.57994800,2.08353079,1.22563878,0.01771056,0.02267082,2000,500000
16,2.19668367,0.45523168,0.79968061,-1.55545931,2.16283496,1.25996749,0.01855884,0.02374950,2000,500000
16,2.21542586,0.45138048,0.77821173,-1.53017197,2.86050550,1.35957017,0.02475484,0.02606610,2000,500000
16,2.23229384,0.44796970,0.76942420,-1.51298616,2.77317897,1.35281302,0.02418184,0.02633301,2000,500000
16,2.24728759,0.44498088,0.74392117,-1.48629866,3.38780234,1.44038525,0.02973971,0.02841555,2000,500000
16,2.26040712,0.44239818,0.72593578,-1.46663284,3.85634154,1.47946935,0.03405040,0.02952836,2000,500000
16,2.27165244,0.44020819,0.70691505,-1.44836691,4.37203171,1.53593899,0.03879585,0.03096120,2000,500000
16,2.28102353,0.43839969,0.69796839,-1.43536028,4.37638195,1.51756983,0.03899465,0.03084383,2000,500000
16,2.28852041,0.43696355,0.69449952,-1.42838328,4.30171645,1.51578865,0.03845534,0.03101046,2000,500000
16,2.29414307,0.43589261,0.67853430,-1.41482053,4.66368540,1.52818415,0.04179360,0.03141787,2000,500000
16,2.29789150,0.43518156,0.67277733,-1.41009428,4.83653790,1.53110540,0.04341343,0.03158088,2000,500000
16,2.29976572,0.43482690,0.66766850,-1.40575144,5.02846575,1.55965725,0.04517302,0.03222229,2000,500000
16,2.30023428,0.43473833,0.67796353,-1.41065375,4.57864293,1.52111882,0.04114044,0.03143890,2000,500000
16,2.30210850,0.43438439,0.66610466,-1.40273128,4.98359983,1.54624291,0.04481558,0.03201027,2000,500000
16,2.30585693,0.43367825,0.65790705,-1.39594509,5.12903624,1.55908563,0.04619853,0.03238133,2000,500000
16,2.31147959,0.43262333,0.64878358,-1.38694287,5.31902441,1.58357589,0.04802663,0.03305058,2000,500000
16,2.31897647,0.43122473,0.64001194,-1.37587809,5.28364836,1.54784541,0.04786194,0.03251474,2000,500000
16,2.32834756,0.42948914,0.62130109,-1.35926222,5.63311963,1.56872296,0.05123383,0.03322017,2000,500000
16,2.33959288,0.42742479,0.61634008,-1.34802022,5.44156688,1.52820102,0.04973067,0.03267541,2000,500000
16,2.35271241,0.42504132,0.59960303,-1.32957291,5.51309725,1.50836446,0.05066692,0.03261400,2000,500000
16,2.36770616,0.42234971,0.56525184,-1.30259594,6.04057727,1.49643600,0.05586841,0.03276980,2000,500000
16,2.38457414,0.41936209,0.53645619,-1.27615878,6.16643424,1.46210800,0.05743875,0.03247590,2000,500000
16,2.40331633,0.41609171,0.50910855,-1.24848244,6.05307166,1.39731958,0.05682596,0.03152664,2000,500000
16,2.42393274,0.41255270,0.47705687,-1.22060441,6.14015323,1.33463861,0.05813796,0.03063126,2000,500000
16,2.44642337,0.40875999,0.44819822,-1.19179412,5.85492423,1.24548957,0.05595165,0.02911812,2000,500000
16,2.47078821,0.40472914,0.42416112,-1.16565962,5.71297437,1.18986431,0.05513887,0.02837452,2000,500000
16,2.49702728,0.40047620,0.39126745,-1.13293487,5.12109576,1.05799595,0.04995123,0.02576859,2000,500000
16,2.52514057,0.39601756,0.36047562,-1.10327306,4.79960930,0.97392688,0.04734253,0.02425814,2000,500000
16,2.55512807,0.39136981,0.34279858,-1.08116128,4.51999407,0.91697270,0.04511392,0.02338524,2000,500000
16,2.58698980,0.38654965,0.31453183,-1.04927916,3.98297374,0.82385665,0.04024966,0.02153779,2000,500000
16,2.62072574,0.38157369,0.29022250,-1.02277875,3.49297182,0.73613704,0.03575829,0.01974976,2000,50000
16,2.65633590,0.37645841,0.26262813,-0.99538875,3.21106728,0.69926903,0.03331904,0.01927393,2000,50000
16,2.69382028,0.37122001,0.24974125,-0.97374563,2.94795964,0.63915372,0.03102060,0.01811768,2000,50000
16,2.73317888,0.36587433,0.23189563,-0.94440844,2.54191811,0.59971429,0.02713874,0.01750010,2000,50000
16,2.77441170,0.36043677,0.21735766,-0.92003906,2.20856043,0.55433593,0.02393537,0.01666767,2000,50000
16,2.81751874,0.35492222,0.21251734,-0.90208188,2.02860300,0.50857338,0.02232667,0.01577057,2000,50000
16,2.86250000,0.34934498,0.19996359,-0.88157125,1.79685672,0.48082477,0.02009181,0.01538997,2000,50000
